company_name,url,description,founders,funding_info,latest_funding_date,total_funding,key_investors,location,headquarters,social_links,success
FullContact,https://www.fullcontact.com,"Offers identity resolution and contact management solutions for businesses, helping them unify customer data and improve engagement. Founded by Bart Lorang.","Bart Lorang, Travis Todd, Dan Lynn","[{'round': 'Series A', 'amount': 'Not specified', 'lead_investors': ['Techstars', 'Jove Equity Partners'], 'year': '~2011-2012'}, {'round': 'Series B', 'amount': '$10M', 'lead_investors': ['Foundry Group', 'Baird Capital'], 'year': '2015'}, {'round': 'Growth/Later', 'amount': '$25M', 'lead_investors': ['Foundry Group'], 'year': '2016'}]",2016,$55–56.5M,"Foundry Group, Baird Capital, Shea Ventures, Blue Note Ventures, 500 Startups, Techstars, Jove Equity Partners","Denver, CO","1624 Market St #226, Denver, CO 80202, United States","linkedin: Not found, crunchbase: Not found",Yes
Modular Robotics,https://www.modrobotics.com,Designs and manufactures educational robot construction kits to promote STEM learning for children and educators. Founded by Eric Schweikardt.,"Eric Schweikardt, Mark D Gross",Not found,Not found,Not found,,"Boulder, CO","1860 38th Street, Boulder, Colorado, 80301","twitter: https://twitter.com/modrobotics, facebook: https://www.facebook.com/modrobotics, instagram: https://www.instagram.com/modrobotics/, youtube: https://www.youtube.com/modrobotics, linkedin: Not found, crunchbase: Not found",Yes
Cheddar Up,https://www.cheddarup.com,"Provides a platform for groups and organizations to collect payments and information online, simplifying group management and fundraising. Founded by Nichole Montoya and Lindsay Duran.","Nichole Montoya, Molly DiCarlo","[{'round': 'Seed', 'amount': 'Undisclosed', 'lead_investor': '500 Accelerator', 'year': '2015'}, {'round': 'Series A (or Series Unknown)', 'amount': '$1.2 million', 'lead_investor': 'Stout Street Capital', 'year': '2017'}, {'round': 'Other rounds', 'amount': '~$1 million', 'lead_investor': 'Undisclosed', 'year': '2015–2017'}]",2017-12,$2.24 million,"Stout Street Capital, Kickstart, 500 Accelerator, Foundry Group","Denver, CO","2696 S Colorado Blvd, Suite 270, Denver, Colorado 80222, United States","linkedin: Not found, crunchbase: Not found",Yes
Kindara,https://www.kindara.com,Develops fertility tracking apps and devices to empower women with knowledge about their reproductive health. Founded by Will Sacks and Kati Bicknell.,"Katherine Bicknell, Will Sacks","[{'round': 'Seed', 'amount': '$5.3M+', 'lead_investors': 'Boston Seed Capital, SOSV, Good Works Ventures, PV Ventures, MENA Venture Investments, 62 Mile Ventures', 'year': '2012-2017'}, {'round': 'Series A', 'amount': '$970,000', 'lead_investors': 'SeedInvest', 'year': '2017'}, {'round': 'Acquisition', 'amount': 'Undisclosed', 'lead_investors': 'Prima Temp', 'year': '2018'}]",2018-10,$7.57 million,"Boston Seed Capital, SOSV, Good Works Ventures, PV Ventures, MENA Venture Investments, 62 Mile Ventures, SeedInvest, Prima Temp","Boulder, CO","3100 Arapahoe Avenue, Suite 500, Boulder, Colorado, 80303, United States","linkedin: Not found, crunchbase: Not found",Yes
Sovrn,https://www.sovrn.com,Provides advertising technology and publisher solutions to help online publishers grow revenue and optimize content. Founded by Walter Knapp.,"Walter Knapp, John Battelle","[{'round': 'Series C', 'amount': '$36 million', 'lead_investors': ['Foundry Group', 'Archer Venture Capital', 'Lexington Partners', 'Progress Ventures', 'Structural Capital'], 'year': '2022'}, {'round': 'Series B', 'amount': '$26 million', 'lead_investors': ['Foundry Group', 'Archer Venture Acquisitions', 'Lexington Partners', 'Oak Investment Partners'], 'year': '2018'}, {'round': 'Earlier', 'amount': '$18 million', 'lead_investors': ['Foundry Group', 'Oak Investment Partners', 'Archer Venture Acquisitions', 'John Battelle'], 'year': '2015'}]",2022-07,$121.5 million,"Foundry Group, Archer Venture Capital, Lexington Partners, Progress Ventures, Structural Capital, Oak Investment Partners","Boulder, CO","1600 Pearl St, Second Floor, Boulder, Colorado, 80302, United States","linkedin: Not found, crunchbase: Not found",Yes
Shinesty,https://www.shinesty.com,"Sells bold, themed apparel and accessories for parties, events, and holidays, known for its humorous and irreverent brand. Founded by Chris White and Jens Nicolaysen.","Chris White, Jens Nicolaysen","[{'round': 'Series A - V', 'amount': '$600,000', 'year': '2020', 'lead_investors': 'MergeLane'}]",2020-06,$10.63 million,MergeLane,"Boulder, CO","1990 57th Ct N, Unit A, Boulder, Colorado 80301","linkedin: Not found, crunchbase: Not found",Yes
MobileDay,https://www.mobileday.com,"Offers a mobile app that enables one-touch dialing into conference calls and online meetings, streamlining remote work communications. Founded by Brad Dupee.","Rajat Bhargava, Jim Haid","Seed: $1M, Series A: $7M, Uncork Capital, year not specified",Not found,$8M,Uncork Capital,"Boulder, CO","2040 14th St, Boulder, Colorado, 80302","linkedin: Not found, crunchbase: Not found",Yes
SendGrid,https://sendgrid.com,"Provides cloud-based email delivery services for transactional and marketing emails, enabling businesses to reliably send and track emails at scale[5][9].","Isaac Saldana, Jose Lopez, Tim Jenkins","[{'round': 'Seed', 'amount': '$750,000', 'lead_investor': 'Highway 12 Ventures', 'year': '2009'}, {'round': 'Series A', 'amount': '$5 million', 'lead_investor': 'Foundry Group', 'year': '2010'}, {'round': 'Series B', 'amount': '$21 million', 'lead_investor': 'Bessemer Venture Partners', 'year': '2012'}, {'round': 'Series C', 'amount': '$20 million', 'lead_investor': 'Bain Capital Ventures', 'year': '2014'}, {'round': 'Series D', 'amount': '$33 million', 'lead_investor': 'Bain Capital Ventures', 'year': '2016'}, {'round': 'IPO', 'amount': '$131 million', 'year': '2017'}]",2017,$260 million,"Highway 12 Ventures, Foundry Group, SoftTech VC, Bessemer Venture Partners, Bain Capital Ventures, 500 Startups, Bullet Time Ventures","Denver, CO","1801 California Street, Suite 500, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
Sphero (formerly Orbotix),https://sphero.com,Designs and manufactures programmable robots and educational STEAM tools for learners of all ages[9].,"Ian Bernstein, Adam Wilson","[{'round': 'Series A/B/C', 'amount': '$15.2M', 'lead_investors': ['Foundry Group', 'Techstars', 'Highway 12 Ventures', 'SK Ventures'], 'year': '2010-2012'}, {'round': 'Series D', 'amount': '$15.5M', 'lead_investors': ['Shea Ventures', 'Grishin Robotics', 'Foundry Group'], 'year': '2014'}, {'round': 'Series E', 'amount': '$45M', 'lead_investors': ['Mercato Partners', 'The Walt Disney Company', 'Foundry Group'], 'year': '2015'}, {'round': 'Series F/G', 'amount': 'Undisclosed', 'lead_investors': ['Shea Ventures', 'Foundry Group', 'others'], 'year': '2017+'}]",2015,$110M - $151M,"Foundry Group, Techstars, Highway 12 Ventures, SK Ventures, Shea Ventures, Grishin Robotics, Mercato Partners, The Walt Disney Company","Boulder, CO","4772 Walnut Street, Suite 206, Boulder, CO 80301, United States","linkedin: Not found, crunchbase: Not found",Yes
Bobo’s,https://eatbobos.com,"Producer of wholesome oat bars and snacks, emphasizing simple ingredients and healthy eating[1][2][3][5].",Beryl Stafford,"[{'round': 'Series A', 'amount': '$8M', 'lead_investors': ['BIGR Ventures', 'Range Light LLC'], 'year': '2017'}, {'round': 'Series B', 'amount': 'Not specified', 'lead_investors': ['BIGR Ventures', 'Ridgeline Ventures'], 'year': '2018'}, {'round': 'Series B - II', 'amount': '$5.5M', 'lead_investors': ['Boulder Food Group'], 'year': '2019'}]",2019-07,$17 million,"BIGR Ventures, Ridgeline Ventures, Boulder Food Group, Range Light LLC","Boulder, CO","6325 Gunpark Dr, Suite B, Boulder, Colorado 80301","linkedin: Not found, crunchbase: Not found",Yes
The Pro’s Closet (TPC),https://www.theproscloset.com,Marketplace for buying and selling certified pre-owned bikes and cycling gear[1][2][3][9].,Nick Martin,"[{'round': 'Seed', 'amount': '$4.5 million', 'lead_investors': 'Not specified', 'year': '2019'}, {'round': 'Series A', 'amount': '$12 million', 'lead_investors': 'Foundry Group, Edison Partners', 'year': '2020'}, {'round': 'Series B', 'amount': '$40 million', 'lead_investors': 'The Chernin Group', 'year': '2021'}]",2021-05,$68 million,"Foundry Group, Edison Partners, The Chernin Group","Thornton, CO","1101 E. 126th Avenue, Suite 190, Thornton, CO 80241","linkedin: Not found, crunchbase: Not found",Yes
King Energy,https://www.kingenergy.com,"Provides commercial-scale solar solutions for shopping centers and office buildings, helping property owners and tenants benefit financially from solar energy[7].","John Witchel, Brian Clausen, Michael Kepe","[{'round': 'Equity', 'amount': '$10 million', 'lead_investor': 'ArcTern Ventures', 'year': 2024}, {'round': 'Debt Financing', 'amount': '$5 million', 'lead_investor': 'Sunstone Credit', 'year': 2024}]",2024-10,$15 million,"ArcTern Ventures, Blackhorn Ventures, Active Impact Investments, Next Frontier Capital, Sunstone Credit","Durango, CO","835 Main Avenue, Suite 215, Durango, Colorado 81301","linkedin: Not found, crunchbase: Not found",Yes
Optera,https://opteraclimate.com,"Delivers enterprise software to help organizations measure, manage, and reduce their greenhouse gas emissions and advance climate action[5][7].","Tim Weiss, Jason Denner, Ty Colman","[{'round': 'Series A', 'amount': '$12 million', 'lead_investor': 'Next Frontier Capital', 'year': '2023'}, {'round': 'Seed-2', 'amount': '$4.2 million', 'lead_investor': 'Next Frontier Capital', 'year': '2022'}]",2023-09,$17.97 million,"Next Frontier Capital, Blackhorn Ventures, Mucker Capital, Overture, Engage, Massive, SaaS Ventures, Valo Ventures, AngelList, Stout Street Capital","Boulder, CO","1215 Spruce St, Suite 201, Boulder, CO 80302","twitter: https://www.box.com/about-us/esg, linkedin: Not found, crunchbase: Not found",Yes
Alpine IQ,https://www.alpineiq.com,"Broomfield-based software company specializing in customer data management and omnichannel consumer experience solutions, with over 16,000% revenue growth since 2020[1][3].","Nicholas Paschal, Shahzil Abid, West Paschal","Self-funded with a total lifetime funding burn of approximately $750,000; raised $653,000 over 3 rounds, latest round on February 28, 2024. No traditional Series A, B, or C rounds reported.",2024-02,"$750,000",,"Broomfield, CO","2205 West 136th Avenue, Suite 106, Broomfield, Colorado, 80023, United States","linkedin: Not found, crunchbase: Not found",Yes
The Luxe Room,https://www.theluxeroom.com,"Denver-based medical spa and laser clinic offering cosmetic injectables and aesthetic treatments, with over 5,000% revenue growth since 2020[1][3].","Danielle Mathers, Brad Mathers",Not found,Not found,Not found,,"Denver, CO","3900 E Mexico Ave, Suite 100, Denver, Colorado, 80210","linkedin: Not found, crunchbase: Not found",Yes
InvitedHome,https://www.invitedhome.com,"Boulder-based travel and vacation rental management company, recognized for rapid growth and innovative property management solutions[2].","Michael Joseph, Tom Feldhusen, Henry Parry-Okeden","{'round': 'Seed', 'amount': '$325,000', 'lead_investors': 'Not found', 'year': 'Not found'}",Not found,"$325,000",,"Boulder, CO","1401 Walnut St Ste 100, Boulder, Colorado, 80302, United States","linkedin: Not found, crunchbase: Not found",Yes
Skratch Labs,https://www.skratchlabs.com,"Boulder-based company producing sports nutrition products, including hydration mixes and energy bars, with significant revenue growth since 2020[2].","Dr. Allen Lim, Ian MacGregor, Aaron Foster","1 round categorized as 'Other Investors', less than $5 million, Conti Ventures, year not specified.",Not found,Less than $5 million,Conti Ventures,"Boulder, CO","2845 29th Street, Unit B&C, Boulder, CO 80301","instagram: https://www.instagram.com/skratchlabs/?hl=en, youtube: https://www.youtube.com/user/SkratchLabs, facebook: https://www.facebook.com/skratchlabs/, linkedin: Not found, crunchbase: Not found",Yes
The Nokbox,https://www.thenokbox.com,"Littleton-based company providing next-of-kin information kits to help families organize critical documents, with over 350% revenue growth[5].",Maria Fraietta,"Convertible Note, $200,000, Tandem Capital, 2013",2013-05,"$200,000",Tandem Capital,"Littleton, CO","6848 S Hill St, Littleton, CO 80120","twitter: https://www.thenokbox.com/collections/nokbox-kits/products/nokbox-naked, linkedin: Not found, crunchbase: Not found",Yes
Caliola Engineering,https://www.caliola.com,"Colorado Springs-based provider of mission-critical communications solutions for defense and government, with 71% revenue growth[5].","Jennifer Halford, Tom Halford","Seed round, $2.4 million, CyberTech|X Accelerator, The Catalyst Accelerator Colorado Springs, early 2024",2024-01,$2.4 million,"CyberTech|X Accelerator, The Catalyst Accelerator Colorado Springs","Colorado Springs, CO","106 Sunbird Cliffs Lane, Colorado Springs, CO 80919","linkedin: https://www.linkedin.com/company/caliola, facebook: https://www.facebook.com/people/Caliola-Engineering-LLC/100068614479860/, crunchbase: Not found",Yes
ActivateWork,https://www.activatework.org,"Denver-based nonprofit offering technology boot camps and apprenticeships, with 110% revenue growth since 2020[5].",Helen Young Hayes,"Grants: $225,000 from Wells Fargo, $1.1 million federal grant for cybersecurity workforce development, over $1 million from Colorado Office of the Future of Work’s Scale-Up Grant Program, $3.8 million request for apprenticeship program funding, $7,500 from Colorado Housing and Finance Authority in 2025.",2025-11,Over $2.5 million,"Wells Fargo, Colorado Office of the Future of Work, Colorado Housing and Finance Authority","Denver, CO","1777 South Harrison Street, Suite 350, Denver, CO 80210","linkedin: Not found, crunchbase: Not found",Yes
Karsh Hagan,https://www.karshhagan.com,"Denver-based marketing, branding, and digital agency, with 25% revenue growth since 2020[5].","Phil Karsh, Tom Hagan",Not found,Not found,Not found,,"Denver, CO","685 South Broadway, Denver, Colorado 80209","instagram: https://www.instagram.com/karshhagan/, facebook: https://www.facebook.com/KarshHagan/, linkedin: https://www.linkedin.com/company/karshhagan, crunchbase: Not found",Yes
Verblio,https://www.verblio.com,Content creation marketplace platform; notable for rapid growth and innovative marketing technology[4].,"Scott Yates, Wade Green","1 funding round, less than $5 million, Not found, 2020-04",2020-04,$5M,,"Denver, CO","3000 Lawrence St, Suite 124, Denver, CO 80205","linkedin: Not found, crunchbase: Not found",Yes
Silicon Mountain,https://www.siliconmtn.com,Specializes in digital solutions and DevSecOps as a service; demonstrated significant revenue growth in recent years[4].,"Kris Townsend, Wayne Townsend",Not found,Not found,Not found,,"Lakewood, CO","1526 Cole Blvd Ste 300, Lakewood, Colorado, 80401","linkedin: Not found, crunchbase: Not found",Yes
AppIt Ventures,https://www.appitventures.com,Custom software development firm; consistently growing and serving a diverse client base[4].,"Rob Carpenter, Jeff Macco","Seed round, undisclosed amount, Cambiar Investors, H. Leigh Severance, January 2014",2014-01,Not found,"Cambiar Investors, H. Leigh Severance","Denver, CO","1800 Wazee Street, Suite 331, Denver, Colorado, 80202, United States","linkedin: https://www.linkedin.com/company/appit-ventures, crunchbase: https://www.crunchbase.com/organization/appit-ventures",Yes
Insight Designs Web Solutions,https://www.insightdesigns.com,Web and app development company with a long-standing presence and steady growth in Boulder[4].,"Beth Krodel, Nico Toutenhoofd","1 round, less than $5 million, no lead investors, year not specified.",Not found,Less than $5 million,,"Boulder, CO","1919 14th Street, Suite 700, Boulder, CO 80302","facebook: https://www.facebook.com/InsightDesigns, instagram: https://instagram.com/insightdesignsboulder/, linkedin: https://www.linkedin.com/company/insight-designs-web-solutions-llc, twitter: https://twitter.com/InsightDesigns, youtube: https://www.youtube.com/channel/UCcnZkG1T_mNRX8mTqczevbg, crunchbase: Not found",Yes
LumenAstra,https://lumenastra.io,"Deep tech spin-off from CU Boulder developing advanced photonics solutions for medical and defense applications, currently raising a $5M seed round[3].","Jim Pollock, Zoya Popovic, Walter Wong","Seed round, $660,000 total funding, including a $400,000 grant in July 2023. Funding primarily from grants and state commercialization programs.",2023-07,"$660,000","National Science Foundation, Venture Partners at CU Boulder, Colorado Office of Economic Development","Longmont, CO",Not found,"linkedin: https://www.linkedin.com/in/tom-meese-615ab35/, crunchbase: Not found",Yes
Josh.ai,https://www.josh.ai,"Develops AI-powered voice automation systems for smart homes, with recent funding rounds and private ownership[7][10].","Alex Capecelatro, Tim Gill","[{'round': 'Seed', 'amount': '$11 million', 'lead_investors': 'Individuals from founders’ networks', 'year': '2017'}, {'round': 'Series A', 'amount': '$11 million', 'lead_investors': 'Undisclosed corporate VCs with sector expertise', 'year': '2020'}]",2020-04,$22 million,,"Denver, CO","255 Clayton St, Suite 301, Denver, Colorado, 80206, United States","twitter: https://twitter.com/joshdotai, facebook: https://www.facebook.com/joshdotai, instagram: https://www.instagram.com/joshdotai/, linkedin: Not found, crunchbase: Not found",Yes
Orion,https://www.orion.com,"AI-powered risk intelligence platform for enterprises, recently secured $3.5M in funding and is still private[17].",Not found,"Seed round, $3.5 million, led by Dynamo Ventures, announced November 2025",2025-11,$3.5 million,"Dynamo Ventures, Bravo Victor Venture Capital (BVVC), Techstars, Service Provider Capital","Denver, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
Valiu,https://www.valiu.com,"Fintech platform enabling international money transfers, recently funded and operating privately[7].","Simón Chamorro, David Barinas, Alberto Niego, Gabriel Ascanio","Seed round: $5.25 million, Lead investors: Blockchange Ventures, Pomp, Year: December 2020",2020-12,$5.25 million,"Blockchange Ventures, Pomp, Castle Island Ventures, Y Combinator, IDEO CoLab Ventures, Mercy Corps Ventures","Bogotá, Colombia",Not found,"linkedin: https://www.linkedin.com/company/valiu-com/, crunchbase: Not found",Yes
Strive Health,https://www.strivehealth.com,"Kidney care provider leveraging technology to improve outcomes, recently raised a $166M Series C and remains private[5].","Chris Riopelle, Will Stokes","[{'round': 'Series A', 'amount': 'Not specified', 'lead_investor': 'NEA', 'year': '2018'}, {'round': 'Series B', 'amount': '$140 million', 'lead_investor': 'CapitalG', 'year': '2021'}, {'round': 'Series C', 'amount': '$166 million', 'lead_investor': 'NEA', 'year': '2023'}, {'round': 'Series D', 'amount': '$300 million in equity + $250 million in debt', 'lead_investor': 'NEA', 'year': '2025'}]",2025-09,$700 million,"NEA, CapitalG, CVS Health Ventures, Redpoint, Town Hall Ventures, Ascension Ventures, Echo Health Ventures, BlackRock affiliates","Denver, CO","1600 Stout Street, Suite 2000, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
Ursa Major,https://www.ursamajor.com,"Aerospace startup developing advanced rocket propulsion systems, recently raised a $100M Series D and is still private[5].",Joe Laurienti,"[{'round': 'Series C', 'amount': '$85M', 'lead_investors': 'Not specified', 'year': '2021'}, {'round': 'Series D/D-1', 'amount': '$138M', 'lead_investors': 'Not specified', 'year': '2023'}, {'round': 'Series E', 'amount': '$100M', 'lead_investors': 'Eclipse', 'year': '2025'}, {'round': 'Earlier', 'amount': '$15.5M', 'lead_investors': 'Not specified', 'year': '2019'}]",2023-12,$208.5M,"Eclipse, Woodline Partners, Principia Growth, XN, Alsop Louie Partners","Berthoud, CO","19750 County Road 7, Berthoud, Colorado, 80513, United States","linkedin: Not found, crunchbase: Not found",Yes
Mom Juice,https://www.momjuice.com,"Innovates the wine industry with modern packaging and messaging, emphasizing ingredient transparency and catering to contemporary consumer needs. Founded in 2020 in Denver by Kristin Taylor and Macie ","Kristin Taylor, Macie Mata","Total capital raised: $1.1 million; Recent funding: $159,614 in Wefunder round (April 2025); No traditional venture capital rounds.",2025-04,$1.1 million,"Crowdfunding platforms, Private investors","Denver, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
Codiga,https://www.codiga.io,"Offers a coding assistant tool that helps developers find code snippets within their IDE, enhancing productivity for software engineers. Founded in 2019 in Denver by Julien Delange[11].",Julien Delange,"Seed round: $2.1 million, led by Draper Cygnus, LAUNCH, and The Syndicate, closed in February 2022.",2022-02,$2.22 million,"Draper Cygnus, LAUNCH, The Syndicate, Olivier Pomel, Jeff Lunsford, MGV Capital, 2.12 Angels, Service Provider Capital, Techstars Ventures","Westminster, CO","3957 West 118th Place, Westminster, Colorado, 80031, United States","linkedin: Not found, crunchbase: Not found",Yes
Maxwell,https://www.himaxwell.com,"Provides a digital mortgage platform that streamlines loan processing for lenders, improving efficiency and borrower experience. Headquartered in Denver, Colorado[5].",Evan Einhorn,Not found,Not found,Not found,,"Denver, CO","1700 Lincoln Street, Suite 2900, Denver, Colorado 80203, United States","linkedin: Not found, crunchbase: Not found",Yes
Sierra Space,https://sierraspace.com,"A commercial space company focused on building the next generation of space transportation and habitats, with significant technical leadership and rapid growth[6][9].","Eren Ozmen, Fatih Ozmen","[{'round': 'Series A', 'amount': '$1.4 billion', 'lead_investors': 'Not found', 'year': '2021'}, {'round': 'Series B', 'amount': '$290 million', 'lead_investors': 'MUFG Bank, Kanematsu Corporation, Tokio Marine & Nichido Fire Insurance', 'year': '2023'}]",2023-09,$1.7 billion,"MUFG Bank, Kanematsu Corporation, Tokio Marine & Nichido Fire Insurance, General Atlantic, Coatue, Moore Strategic Ventures, Sierra Holding Company, BlackRock Private Equity Partners, AE Industrial Partners, Vice Family Trust, Fenix Group","Louisville, CO","2000 S Taylor Avenue, Louisville, CO 80027","linkedin: Not found, crunchbase: Not found",Yes
Quantinuum,https://quantinuum.com,"A quantum computing company formed from the merger of Honeywell Quantum Solutions and Cambridge Quantum, headquartered in Colorado and led by technical founders[6][9].",Ilyas Khan,"[{'round': 'Series A', 'amount': '$300 million', 'lead_investor': 'Honeywell', 'year': '2021'}, {'round': 'Series B', 'amount': '$600 million', 'lead_investors': ['NVentures (NVIDIA)', 'Quanta Computer', 'QED Investors'], 'year': '2025'}]",2025-08,$900 million,"Honeywell, NVentures (NVIDIA), Quanta Computer, QED Investors, Fidelity Investments, JPMorgan Chase","Broomfield, CO","303 South Technology Court, Broomfield, Colorado, 80021, United States","twitter: https://x.com/QuantinuumQC, linkedin: https://www.linkedin.com/company/quantinuumqc/, youtube: https://www.youtube.com/@QuantinuumQC, crunchbase: Not found",Yes
Stack Infrastructure,https://stackinfra.com,"Provides data center solutions and infrastructure, founded by Brian Cox and recognized as a high-growth Colorado tech company[14][16].",Brian Cox,"[{'round': 'Green Financing', 'amount': '$1.3 billion', 'year': '2024', 'details': 'Includes $350 million for a 150MW campus in Manassas, Virginia, and $301 million for a 200MW campus in Loudoun County, Virginia.'}, {'round': 'Green Financing', 'amount': '$4 billion', 'year': '2024', 'details': 'Secured for data center developments including a 1+ gigawatt campus in Stafford, Virginia, alongside campuses in Portland, Oregon, and Toronto, Canada.'}, {'round': 'Green Financing', 'amount': '$1.4 billion', 'year': '2024', 'details': 'Facility closed to expand its data center platform.'}, {'round': 'Green Financing', 'amount': '¥39.7 billion (approximately $260+ million USD)', 'year': '2025', 'details': 'Secured to advance development of its Tokyo campus, backed by Natixis CIB and Societe Generale.'}, {'round': 'Structured Debt Financing', 'amount': '$325 million', 'year': '2024', 'details': 'Closed at a coupon rate of 1.893%, the lowest securitized rate achieved by the company.'}]",2025-10,$21 billion,"IPI Partners, Natixis CIB, Societe Generale","Denver, CO","1700 Broadway, Suite 1750, Denver, Colorado, 80290, United States","linkedin: Not found, crunchbase: Not found",Yes
Cologix,https://cologix.com,A data center and interconnection solutions provider with a strong technical founding team and significant growth in Colorado[9][6].,"Grant van Rooyen, Trent Vichie","In October 2023, Cologix secured $1.5 billion in new capital: $1 billion in a multi-asset development debt facility and $500 million in equity from new and existing investors. In May 2024, Cologix raised $525 million through an asset-backed securitization (ABS).",2023-10,$1.5 billion,Stonepeak Infrastructure Partners,"Denver, CO","1601 19th St, Suite 650, Denver, CO 80202, United States","twitter: https://cologix.com/privacy-policy/, facebook: https://www.facebook.com/Cologix/, linkedin: https://www.linkedin.com/company/cologix-inc/, crunchbase: Not found",Yes
Elevate Quantum,https://elevatequantum.com,"An innovation hub and accelerator supporting quantum technology startups, with technical founders and a rapidly expanding presence in Colorado’s deep tech ecosystem[7].","Zachary Yerushalmi, Corban Tillemann-Dick","Federal funding: $41 million from U.S. Department of Commerce (EDA) in July 2024; State funding: $77 million from Colorado, including $44 million for a Rapid Prototyping Lab and $30 million for a loan guarantee program, and $10 million from New Mexico for a photonics packaging facility. Total public funding: $127.5 million.",2024-07,$127.5 million,,"Boulder, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
Automox,https://www.automox.com,"Delivers cloud-native IT operations and endpoint management solutions; headquartered in Boulder, Colorado, with significant venture backing[3][7][15].",Jay Prassl,"[{'round': 'Series A', 'amount': '$9.3 million', 'lead_investor': 'TechOperators', 'year': '2018'}, {'round': 'Series C', 'amount': '$110 million', 'lead_investor': 'Insight Partners', 'year': '2021'}]",2021-04,$152.95 million,"TechOperators, Insight Partners, Blackstone, Koch Disruptive Technologies, CRV, BlueNote Ventures","Boulder, CO","1606 Headway Cir #9043, Austin, TX 78754, United States","twitter: https://twitter.com/automox?lang=en, facebook: https://www.facebook.com/automox/, instagram: https://www.instagram.com/patchautomox, linkedin: https://www.linkedin.com/company/automox/, youtube: https://www.youtube.com/c/Automox, crunchbase: Not found",Yes
Tilled,https://www.tilled.com,"Provides a B2B SaaS platform that enables software companies to monetize payments through PayFac-as-a-Service, backed by VC funding[8][1].",Caleb Avery,"[{'round': 'Seed', 'amount': '$2.15 million', 'lead_investor': 'Not specified', 'year': '2020'}, {'round': 'Series A', 'amount': '$11 million', 'lead_investor': 'Canvas Ventures', 'year': '2021'}, {'round': 'Series A Extension', 'amount': '$11 million', 'lead_investor': 'G Squared', 'year': '2022'}, {'round': 'Recent Round', 'amount': '$12.5 million', 'lead_investors': ['Canvas Ventures', 'UPC Capital Ventures'], 'year': '2024'}, {'round': 'Not specified', 'amount': '$16.5 million', 'lead_investor': 'Not specified', 'year': '2025'}]",2024-10,$40 million,"Canvas Ventures, UPC Capital Ventures, G Squared, Abstract Ventures, Peterson Ventures, Clocktower Technology Group","Boulder, CO","2955 Valmont Road, Suite 220, Boulder, Colorado, 80301, United States","youtube: https://www.youtube.com/@tilled6267, linkedin: Not found, crunchbase: Not found",Yes
TurboTenant,https://www.turbotenant.com,"Offers a SaaS platform for landlords to manage rental properties, screen tenants, and collect rent online; VC-funded and B2B-focused[8][1].",Sarnen Steinbarth,"[{'round': 'Seed/Other', 'amount': '~$3.7M', 'lead_investors': 'Not disclosed', 'year': '2017-2018'}, {'round': 'Series A', 'amount': '$6.5M', 'lead_investors': 'RET Ventures', 'year': '2019'}, {'round': 'Growth Equity', 'amount': 'Not disclosed', 'lead_investors': 'LLR Partners', 'year': '2024'}]",2024-10,$10.45 million,"RET Ventures, LLR Partners, Access Venture Partners, Crescendo Capital Partners, Front Range Capital Partners","Fort Collins, CO","320 E Vine Dr, Suite 307, Fort Collins, Colorado, 80524, United States","linkedin: Not found, crunchbase: Not found",Yes
Evolve,https://www.evolve.com,"Provides a SaaS platform for vacation rental management, serving property owners and managers (B2B); VC-backed[1][8].","Brian Egan, Adam Sherry",Not found,Not found,Not found,,"Denver, CO","717 17th Street, Suite 2100, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
WorkBright,https://workbright.com,Provides a SaaS onboarding platform for HR teams to automate new hire paperwork and compliance; B2B and VC-funded[1][8].,David Secunda,"[{'round': 'Seed', 'amount': '$1.2 million', 'lead_investors': ['Foundry Group', 'Techstars', 'Recruit Group', 'Right Side Capital Management'], 'year': '2014'}, {'round': 'Debt', 'amount': '$200,000', 'lead_investors': 'Not specified', 'year': '2016'}]",2016-07,$1.2 million to $3.2 million,"Foundry Group, Techstars, Recruit Group, Right Side Capital Management","Boulder, CO","1945 Grove Street, Boulder, Colorado, 80302, United States","linkedin: Not found, crunchbase: Not found",Yes
Outside VC,https://outside-vc.com,"Early-stage venture capital firm and fintech platform based in Denver, offering investment opportunities and financial products. Founded in 2022[2].",Ethan Austin,Not found,Not found,Not found,"Better Tomorrow Ventures, Techstars, Hustle Fund, M13, Long Journey Ventures, Afore Capital, Scale Venture Partners, Chingona Ventures, Starting Line","Denver, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
