company_name,url,description,founders,location_city,location_state,location,headquarters,linkedin_url,crunchbase_url,total_funding_normalized,total_funding,num_funding_rounds,funding_stage_progression,latest_round,latest_round_amount,latest_round_date,latest_funding_date,years_since_last_funding,total_investor_count,lead_investors,all_investors,key_investors,notable_tier1_investors,has_colorado_investors,industry_categories,business_model,company_stage,technology_focus,target_market,colorado_connection
H3X Technologies,https://www.h3x.tech/,H3X Technologies is advancing manufacturing through innovative electric propulsion and power systems for aerospace and defense applications.,"Jason Sylvestre, Max Liben, Eric Maciolek",Louisville,CO,"Louisville, CO","410 S Arthur Ave, Louisville, Colorado 80027",https://www.linkedin.com/company/h3x-technologies/,https://www.crunchbase.com/organization/h3x-technologies,$20M,$20 million,1,Series A,Series A,$20M,2024-08,2024-08,1,10,Infinite Capital,"Infinite Capital, Hanwha Asset Management, Cubit Capital, Origin Ventures, Industrious Ventures, Venn10 Capital, Lockheed Martin Ventures, Metaplanet, Liquid 2 Ventures, TechNexus","Infinite Capital, Hanwha Asset Management, Cubit Capital, Origin Ventures, Industrious Ventures, Venn10 Capital, Lockheed Martin Ventures, Metaplanet, Liquid 2 Ventures, TechNexus",,No,"Aerospace, Defense, Manufacturing",Hardware,Early Growth,"CleanTech, Electric Propulsion","Government, Aerospace, Defense",High
Havenly,https://www.havenly.com,"Online interior design service leveraging software for personalized design; founded by Lee Mayer, a technical founder with a background in product and engineering[3].","Lee Mayer, Emily Motayed, Jessie Dixon",Denver,CO,"Denver, CO","3501 Wazee St #201, Denver, CO 80216, United States",,,$85M,$85 million,5,Seed → Series A → Series B → Series C → Series C,Series C,$28M,2021-06,2021-06,4,7,"Foundry Group, Binary Capital, Chicago Ventures, Industry Ventures, Kickstart Fund","Foundry Group, Binary Capital, Chicago Ventures, Industry Ventures, Kickstart Fund, Suttona Capital, Forward Venture Capital","Foundry Group, Binary Capital, Chicago Ventures, Industry Ventures, Kickstart Fund, Suttona Capital, Forward Venture Capital",,Yes,"Interior Design, E-commerce, Software",Consumer,Growth,Software,Consumer,High
Hotel Engine,https://www.hotelengine.com,"Provides a hotel booking platform tailored for business travel, offering discounted rates and streamlined management[3].",Elia Wallen,Denver,CO,"Denver, CO","950 S Cherry St, 10th Floor, Denver, Colorado 80246, US",,,$221M,$221 million,3,Series A → Series B → Series C,Series C,$140M,2024-09,2024-09,1,3,"Permira Growth Opportunities II, Telescope Partners, Blackstone","Permira Growth Opportunities II, Telescope Partners, Blackstone","Permira Growth Opportunities II, Telescope Partners, Blackstone",,Yes,"Travel, SaaS, Business Services",B2B SaaS,Growth,Travel Management Software,Enterprise,High
HYVV,https://hyvv.com,"AI-powered operating system for launching startups, providing tools for business planning, marketing, legal, and hiring, all in one platform. Founded in 2022 and based in Fort Collins[4].","Rob Schachte, Paul Smith, Danilo Nerez",Fort Collins,CO,"Fort Collins, CO","5316 West Crestview Lane, Fort Collins, Colorado, 80526, United States",,,$1.3M,$1.3 million,1,Pre-Seed → Series A,Series A,$1.3M,Unknown,Not specified,-1,1,Acadian Capital Ventures,Acadian Capital Ventures,Acadian Capital Ventures,,Yes,"AI, Software, Startup Tools",B2B SaaS,Seed,AI,Startups,High
Ibex Investors,https://www.ibexinvestors.com,"A Denver venture capital firm investing in early-stage private companies, particularly in mobility and innovative sectors, with a proactive approach to portfolio company growth.",Justin Borus,Denver,CO,"Denver, CO","260 North Josephine Street, Suite 300, Denver, Colorado 80206",,,Unknown,Not found,4,Seed → Series A,Series A,$7M,2025,2025,0,5,"Ibex Investors, ECP Growth, Emerge, Spring Ventures, Capital Point","Ibex Investors, ECP Growth, Emerge, Spring Ventures, Capital Point",Ibex Investors,,Yes,"Mobility, Venture Capital, Alternative Investments",Venture Capital,Early Growth,"Mobility, Innovative Sectors",Private Companies,High
Ibotta,https://www.ibotta.com,"Mobile rewards platform for cash back on purchases; founded by Bryan Leach, a former attorney turned technical founder[3].",Bryan Leach,Denver,CO,"Denver, CO","1400 16th Street, Suite 600, Denver, CO 80202",https://www.linkedin.com/company/ibotta/,https://www.crunchbase.com/organization/ibotta,$450M,Over $450 million,6,Seed → Series A → Series B → Series C → Series C-1 → Series D,Series D,$75M,2019,2019,6,8,"Koch Disruptive Technologies, Notable Capital, Jim Clark, GGV Capital, Haystack Partners","The Foundry Group, Kleiner Perkins, Accel Partners, Jim Clark, Wellington Management, GGV Capital, Koch Disruptive Technologies, Haystack Partners, Notable Capital","Kleiner Perkins, Accel Partners, Jim Clark, Wellington Management, GGV Capital, Koch Disruptive Technologies, Haystack Partners, Notable Capital","Kleiner Perkins, Accel Partners",Yes,"Mobile, Consumer Technology, Performance Marketing",Consumer,Growth,Mobile Applications,Consumer,High
In-House Health,https://www.inhouse.health,"Colorado startup providing healthcare solutions for employers, recently raised a Seed round[1].","Ari Brenner, Sergey Vasilenko, Shachar Har Zvi",Denver,CO,"Denver, CO","66 S. Logan St., Denver, CO 80209",http://www.linkedin.com/company/in-house-health,,$5.4M,$5.4 million,1,Seed,Seed,$4M,2024-05,2024-05,1,4,"NEA, TMV","NEA, TMV, Vine Ventures, Longevity Venture Partners","NEA, TMV, Vine Ventures, Longevity Venture Partners",,No,"Healthcare, AI, SaaS",B2B SaaS,Seed,AI/ML,Enterprise,High
Infinite 8 Industries,https://infinite8industries.com,"Focuses on AI and digital transformation solutions, recognized for technological innovation and investor interest in Colorado Springs[3].",Ean Mikale,Colorado Springs,CO,"Colorado Springs, CO","2751 East San Miguel Street, Colorado Springs, CO 80909",,,Unknown,Not found,1,Pre-Seed,Pre-Seed,Unknown,2020-05,2020-05,5,0,,,,,No,"AI, Digital Transformation",B2B SaaS,Seed,"AI, Quantum Computing",Enterprise,High
Innosphere Ventures,https://innosphereventures.org,Fort Collins-based accelerator and venture fund supporting science and technology startups with business support and access to capital[5].,"Mike Freeman, John Smith, Mark Newhouse",Fort Collins,CO,"Fort Collins, CO","320 East Vine Drive, Suite 101, Fort Collins, Colorado 80524",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,1,Israel-Colorado Innovation Fund (ICI Fund),Israel-Colorado Innovation Fund (ICI Fund),Israel-Colorado Innovation Fund (ICI Fund),,Yes,"Science, Technology, Life Sciences","Accelerator, Venture Fund",Early Growth,"Life Sciences, Climate Technology, High-Tech Innovation",Startups,High
Insight Designs Web Solutions,https://www.insightdesigns.com,Web and app development company with a long-standing presence and steady growth in Boulder[4].,"Beth Krodel, Nico Toutenhoofd",Boulder,CO,"Boulder, CO","1919 14th Street, Suite 700, Boulder, CO 80302",https://www.linkedin.com/company/insight-designs-web-solutions-llc,,$5M,Less than $5 million,1,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Web Development, App Development",B2B Services,Growth,Web Technologies,SMB,High
Inspirato,https://www.inspirato.com,"Luxury travel subscription service offering access to exclusive vacation homes, hotels, and experiences[3].","Brent Handler, Brad Handler, Martin Pucher, Brian Corbett",Denver,CO,"Denver, CO","1544 Wazee Street, Denver, CO 80202",,,$85M,$85 million,7,Series A → Series B → Subsequent Round → Equity Financing → Convertible Note → PIPE → SPAC Merger,Equity Financing,$10M,2024,2024,1,6,"One Planet Group, Capital One Ventures, W Capital Partners, Institutional Venture Partners, Kleiner Perkins Caufield & Byers","Institutional Venture Partners, Kleiner Perkins Caufield & Byers, W Capital Partners, Millennium Technology Value Partners, One Planet Group, Capital One Ventures","Institutional Venture Partners, Millennium Technology Value Partners, Kleiner Perkins Caufield & Byers, W Capital Partners, One Planet Group, Capital One Ventures",Kleiner Perkins,No,"Travel, Subscription Services, Hospitality",Consumer,Growth,Unknown,Consumer,High
Intrepid Fiber Networks,https://www.intrepidfiber.com,Colorado-based fiber networking company.,Not found,Broomfield,CO,"Broomfield, CO",Not found,https://www.linkedin.com/company/intrepid-fiber-networking/,,$425M,$425M,1,Unknown,Credit Facility,$425M,2025-06,2025-06,0,1,Brookfield Asset Management,Brookfield Asset Management,Brookfield Asset Management,,No,"Telecommunications, Fiber Optics, Infrastructure","B2B, B2C",Growth,Fiber Optic Technology,"Consumer, Government",High
InvitedHome,https://www.invitedhome.com,"Boulder-based travel and vacation rental management company, recognized for rapid growth and innovative property management solutions[2].","Michael Joseph, Tom Feldhusen, Henry Parry-Okeden",Boulder,CO,"Boulder, CO","1401 Walnut St Ste 100, Boulder, Colorado, 80302, United States",,,$0.325M,"$325,000",1,Seed,Seed,$0.325M,Unknown,Not found,-1,0,Not found,Not found,,,No,"Travel, Vacation Rentals, Property Management",Marketplace,Seed,Unknown,Consumer,High
Iontra,https://iontra.com,"DeepTech company developing advanced battery charging and management technology; raised Series C ($45M, 2024)[3].","Jeff Granato, Daniel Konopka",Centennial,CO,"Centennial, CO","7025 S Fulton St Unit 100, Centennial, Colorado, 80112, United States",,,$120.3M,$120.3M,2,Series B → Series C,Series C,$45M,2024-11,2024-11,1,3,"Volta Energy Technologies, Riverstone Group","Volta Energy Technologies, Riverstone Group, Flag Asset Management","Volta Energy Technologies, Riverstone Group, Flag Asset Management",,No,"DeepTech, CleanTech, Energy",Hardware,Growth,"DeepTech, Battery Technology",Enterprise,High
Josh.ai,https://www.josh.ai,"Develops AI-powered voice automation systems for smart homes, with recent funding rounds and private ownership[7][10].","Alex Capecelatro, Tim Gill",Denver,CO,"Denver, CO","255 Clayton St, Suite 301, Denver, Colorado, 80206, United States",,,$22M,$22 million,2,Seed → Series A,Series A,$11M,2020-04,2020-04,5,2,"Individuals from founders’ networks, Undisclosed corporate VCs with sector expertise","Individuals from founders’ networks, Undisclosed corporate VCs with sector expertise",,,No,"AI, Smart Home, Voice Automation",B2C Hardware,Early Growth,AI/ML,Consumer,High
JumpCloud,https://jumpcloud.com,"Provides a cloud directory platform for secure identity, access, and device management for organizations, enabling IT teams to manage user authentication and security across devices and applications[5","Rajat Bhargava, Greg Keller",Louisville,CO,"Louisville, CO","361 Centennial Pkwy, Suite 300, Louisville, CO 80027",,,$400M,$400M,10,Seed → Series A → Series B → Series C → Debt Financing → Series D → Series E → Series E (extension) → Series F → Series F (extension),Series F (extension),$66M,2021-10,2021-10,4,15,"Sapphire Ventures, Atlassian Ventures, CrowdStrike Falcon Fund, BlackRock Innovation Capital, General Atlantic","Sapphire Ventures, Atlassian Ventures, CrowdStrike Falcon Fund, BlackRock Innovation Capital, General Atlantic, Whale Rock Capital, Owl Rock, Sands Capital, Endeavor Catalyst, Foundry Group, OpenView, Ridge Ventures, Techstars, Comerica Incorporated, Ridge Ventures","Sapphire Ventures, Atlassian Ventures, CrowdStrike Falcon Fund, BlackRock Innovation Capital, General Atlantic, Whale Rock Capital, Owl Rock, Sands Capital, Endeavor Catalyst, Foundry Group, OpenView, Ridge Ventures, Techstars",,Yes,"Cloud Computing, Cybersecurity, SaaS",B2B SaaS,Growth,"Identity Management, Access Management",Enterprise,High
Karman+,https://www.karmanplus.com,Denver-based tech company in growth stage. Listed among fastest-growing Denver startups in 2025 with demonstrated product-market fit.,"Teun van den Dries, Daynan Crull",Denver,CO,"Denver, CO",Not found,,,$20M,$20M,1,Series A,Series A,$20M,2025,2025,0,1,Sten Tamkivi,Sten Tamkivi,Sten Tamkivi,,No,"Space, Technology, Aerospace",Hardware,Growth,"Aerospace, Autonomous Systems","Government, Space Economy",High
Karsh Hagan,https://www.karshhagan.com,"Denver-based marketing, branding, and digital agency, with 25% revenue growth since 2020[5].","Phil Karsh, Tom Hagan",Denver,CO,"Denver, CO","685 South Broadway, Denver, Colorado 80209",https://www.linkedin.com/company/karshhagan,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Marketing, Branding, Digital Agency",B2B Services,Growth,Digital Marketing,Businesses,High
KEY Investment Partners,https://keyinvestmentpartners.com,"Venture capital firm focused on early-stage cannabis companies with $1M check size and requirement for over $1,000,000 annualized revenues","Pete Karabas, Tiby Erdely, Jordan Youkilis",Denver,CO,"Denver, CO","1550 Larimer Street, Suite 1084, Denver, Colorado 80202",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Cannabis, Venture Capital",Venture Capital,Early Growth,Unknown,Emerging Markets,High
Kickfurther,https://www.kickfurther.com,"Crowdfinancing platform for inventory funding; founded by Sean De Clercq, with investors including Techstars and Foundry Group[5][7].","Sean De Clercq, Erik Straub",Boulder,CO,"Boulder, CO","1215 Spruce St, Suite 201, Boulder, Colorado, 80302, United States",,,$10.9M,$10.9 million,1,Seed Plus,Seed Plus,$5.9M,2021-04,2021-04,4,5,"Grand Oaks Capital, Tim Draper, Bill Tai","Grand Oaks Capital, Tim Draper, Bill Tai, Buffalo Angels, The Revenue Accelerator","Grand Oaks Capital, Tim Draper, Bill Tai, Buffalo Angels, The Revenue Accelerator",,Yes,"Crowdfunding, FinTech, E-commerce",Marketplace,Early Growth,FinTech,SMB,High
Kindara,https://www.kindara.com,Develops fertility tracking apps and devices to empower women with knowledge about their reproductive health. Founded by Will Sacks and Kati Bicknell.,"Katherine Bicknell, Will Sacks",Boulder,CO,"Boulder, CO","3100 Arapahoe Avenue, Suite 500, Boulder, Colorado, 80303, United States",,,$7.57M,$7.57 million,3,Seed → Series A → Acquisition,Acquisition,Undisclosed,2018-10,2018-10,7,8,"Boston Seed Capital, SOSV, Good Works Ventures, SeedInvest","Boston Seed Capital, SOSV, Good Works Ventures, PV Ventures, MENA Venture Investments, 62 Mile Ventures, SeedInvest, Prima Temp","Boston Seed Capital, SOSV, Good Works Ventures, PV Ventures, MENA Venture Investments, 62 Mile Ventures, SeedInvest, Prima Temp",,No,"HealthTech, Mobile Apps, Consumer, FemTech",Consumer,Growth,HealthTech,Consumer,High
King Energy,https://www.kingenergy.com,"Provides commercial-scale solar solutions for shopping centers and office buildings, helping property owners and tenants benefit financially from solar energy[7].","John Witchel, Brian Clausen, Michael Kepe",Durango,CO,"Durango, CO","835 Main Avenue, Suite 215, Durango, Colorado 81301",,,$15M,$15 million,2,Equity → Debt Financing,Debt Financing,$5M,2024-10,2024-10,1,5,"ArcTern Ventures, Sunstone Credit","ArcTern Ventures, Blackhorn Ventures, Active Impact Investments, Next Frontier Capital, Sunstone Credit","ArcTern Ventures, Blackhorn Ventures, Active Impact Investments, Next Frontier Capital, Sunstone Credit",,Yes,"CleanTech, Renewable Energy, Solar Energy",B2B Solar Solutions,Growth,CleanTech,Commercial Real Estate,High
Koloma,https://koloma.com,Develops subsurface hydrogen production technology to support large-scale decarbonization; raised $245.7 million in Series B funding in February 2024[1].,"Pete Johnson, Paul Harraka, Tom Darrah",Denver,CO,"Denver, CO","1900 Grant Street, Suite 1250, Denver, Colorado 80203",https://www.linkedin.com/company/kolomainc/about/,,$394M,$394 million,3,Series A → Series B → Series B extension,Series B extension,$50M,2024-01,2024-01,1,7,"Khosla Ventures, Breakthrough Energy Ventures, Energy Impact Partners","Khosla Ventures, Breakthrough Energy Ventures, Energy Impact Partners, Amazon Climate Pledge Fund, United Airlines Ventures, Osaka Gas, Mitsubishi Heavy Industries","Khosla Ventures, Breakthrough Energy Ventures, Energy Impact Partners, Amazon Climate Pledge Fund, United Airlines Ventures, Osaka Gas, Mitsubishi Heavy Industries",,No,"CleanTech, Energy, Hydrogen Production",Technology,Growth,CleanTech,Enterprise,High
Left Hand Robotics,https://lefthandrobotics.com,Robotics company developing autonomous outdoor robots for snow removal and lawn mowing; recently received seed funding[9].,"Terry Olkin, Mike Ott",Longmont,CO,"Longmont, CO","1880 Industrial Circle, Suite E, Longmont, Colorado, 80501, United States",,,$8.9M,$8.9 million,2,Seed → Series A,Series A,$3.6M,2019-08,2019-08,6,1,Catapult Ventures,Catapult Ventures,Catapult Ventures,,Yes,"Robotics, Automation, Outdoor Services",Hardware,Early Growth,"Robotics, Autonomous Systems","Consumer, Commercial",High
LeftHand Networks (acquired by HP),https://www.hpe.com/us/en/storage.html,Provided storage area network (SAN) solutions; acquired by Hewlett-Packard (now HPE)[7].,Bill Chambers,Boulder,CO,"Boulder, Colorado","2580 55th St, Boulder, Colorado 80301",,,$76.5M,$76.5 million,2,Series C,Series C,$25M,2008,2008,17,10,Valhalla Partners,"Valhalla Partners, JPMorgan Chase, Sprout Group, Boulder Ventures, Garage Technology Ventures, Ironside Ventures, New World Ventures, Portage Venture Partners, Sequel Venture Partners, Vista Ventures, Wasatch Ventures","Valhalla Partners, JPMorgan Chase, Sprout Group, Boulder Ventures, Garage Technology Ventures, Ironside Ventures, New World Ventures, Portage Venture Partners, Sequel Venture Partners, Vista Ventures, Wasatch Ventures",,Yes,"Storage, Networking, Technology",Hardware,Mature,Storage Area Network (SAN),Enterprise,High
"Lifeloc Technologies, Inc.",https://www.lifeloc.com,"Manufacturer of breath alcohol testing equipment and related health technologies, recently raised $750K[3].",Not found,Wheat Ridge,CO,"Wheat Ridge, CO","12441 West 49th Ave, Suite 4, Wheat Ridge, Colorado 80033, United States",,,$1.6M,$1.6 million,3,Unknown,Subordinated Debenture,$750K,2025-03,2025-03,0,0,,,,,No,"Health Technology, Manufacturing",Hardware,Early Growth,HealthTech,"Government, Enterprise",High
LumenAstra,https://lumenastra.io,"Deep tech spin-off from CU Boulder developing advanced photonics solutions for medical and defense applications, currently raising a $5M seed round[3].","Jim Pollock, Zoya Popovic, Walter Wong",Longmont,CO,"Longmont, CO",Not found,https://www.linkedin.com/in/tom-meese-615ab35/,,$660K,"$660,000",1,Seed,Seed,$660K,2023-07,2023-07,2,3,"National Science Foundation, Venture Partners at CU Boulder, Colorado Office of Economic Development","National Science Foundation, Venture Partners at CU Boulder, Colorado Office of Economic Development","National Science Foundation, Venture Partners at CU Boulder, Colorado Office of Economic Development",,Yes,"Photonics, Medical Devices, Defense",Hardware,Seed,"DeepTech, Photonics","Medical, Defense, Consumer",High
Lunar Outpost,https://lunaroutpost.com,"Robotics and space technology company building autonomous systems for harsh environments, including lunar and planetary exploration; raised Series A (2024)[3].","Justin Cyrus, Julian Cyrus, AJ Gemer, Forrest Meyen",Golden,CO,"Golden, CO","17700 South Golden Road, Golden, CO 80401, United States",https://www.linkedin.com/company/lunaroutpost,https://www.cbinsights.com/company/lunar-outpost,$21.61M,$21.61 million,3,Seed → Series A → Series B,Series B,$9.61M,2025-03,2025-03,0,6,"Type One Ventures, Industrious Ventures, Explorer 1 Fund","Type One Ventures, Industrious Ventures, Promus Ventures, Explorer 1 Fund, Space Capital, Cathexis Ventures","Type One Ventures, Industrious Ventures, Promus Ventures, Explorer 1 Fund, Space Capital, Cathexis Ventures",,No,"Robotics, Space Technology, Autonomous Systems",Hardware,Early Growth,"Robotics, Space Exploration","Government, Commercial Space",High
Madwire,https://www.madwire.com,Provides an all-in-one marketing technology platform for businesses to optimize campaigns and streamline operations. Headquartered in Fort Collins and recognized for rapid growth and innovation[10].,"JB Kellogg, Joe Kellogg",Fort Collins,CO,"Fort Collins, CO","3405 S Timberline Rd, Fort Collins, Colorado 80525",https://linkedin.com/company/madwire,https://crunchbase.com/organization/madwire-media,$31M,$31 million,2,Series A → Private Equity,Private Equity,Unknown,2024-07,2024-07,1,3,"Copley Equity Partners, Cypress Growth Capital, Granite Creek Partners","Copley Equity Partners, Cypress Growth Capital, Granite Creek Partners","Copley Equity Partners, Cypress Growth Capital, Granite Creek Partners",,No,"Marketing Technology, SaaS, Business Management",B2B SaaS,Growth,Marketing Technology,SMB,High
MagicSchool AI,https://www.magicschool.ai,"AI-powered educational technology startup founded in 2023, building tools to enhance teaching and learning with artificial intelligence[3][7].",Adeel Khan,Boulder,CO,"Boulder, CO","4845 Pearl East Cir Ste 118, Boulder, Colorado, 80301, United States",https://www.linkedin.com/company/magicschool-ai/,https://www.crunchbase.com/organization/magicschool,$62.4M,$62.4 million,3,Pre-Seed → Series A → Series B,Series B,$45M,2025-02,2025-02,0,5,"Range Ventures, Bain Capital Ventures, Valor Equity Partners","Range Ventures, Bain Capital Ventures, Valor Equity Partners, Adobe Ventures, Common Sense Media","Range Ventures, Bain Capital Ventures, Valor Equity Partners, Adobe Ventures, Common Sense Media",,No,"AI, Educational Technology, SaaS",B2B SaaS,Early Growth,AI/ML,Education,High
Manatee,https://getmanatee.com,Uses AI to deliver personalized mental health support for families and children; recently funded and growing rapidly[1].,"Damayanti Dipayana, Shawn Kuenzler",Denver,CO,"Denver, CO","663 S Oneida Way, Denver, Colorado, 80224, United States",,,$1.53M,$1.53 million,1,Seed,Seed,$1.53M,2020,2020,5,4,"Grand Ventures, American Family Insurance Institute for Corporate and Social Impact, Telosity","Grand Ventures, American Family Insurance Institute for Corporate and Social Impact, Telosity, SpringTime Ventures, Danish Munir, Luke Leninger, Jonathan Weiner","Grand Ventures, American Family Insurance Institute for Corporate and Social Impact, Telosity, SpringTime Ventures",,No,"Mental Health, AI, Healthcare",B2C,Seed,AI,Consumer,High
Matchstick Ventures,https://www.matchstickventures.com,"Early-stage venture firm investing in technical founders, co-founded by Natty Zola, a former startup CTO[3].","Ryan Broshar, Natty Zola",Boulder,CO,"Boulder, CO","1380 Raymond Jessup Rd, Mount Airy, North Carolina, 27030, United States",https://www.linkedin.com/company/matchstick-ventures/,https://www.crunchbase.com/organization/matchstick-ventures,$90M,$90M,6,Fund I → Fund II → Fund III → Series A → Series B,Series B,$48M,Unknown,2021,-1,4,"Addition, Craft Ventures, DNA Capital","Techstars Ventures, Firebrand Ventures, Canaan Partners, Right Side Capital Management, Addition, Craft Ventures, DNA Capital","Techstars Ventures, Firebrand Ventures, Canaan Partners, Right Side Capital Management",,Yes,"Venture Capital, Technology, Startups",Venture Capital,Early Growth,Technical Founders,Startups,High
Matereal,https://matereal.com,Matereal creates sustainable building materials using recycled and bio-based resources to lower construction emissions.,"Jacqueline Ros Amable, Dr. Philip Pienkos, Karla Mora",Denver,CO,"Denver, CO",Not found,,Referenced,$4.5M,$4.5 million,1,Seed,Seed,$4.5M,2024-07,2024-07,1,8,Collaborative Fund,"Collaborative Fund, Better Ventures, Alante Capital, One Small Planet, Climate Capital, Sandy Spring Climate Partners, Pachamama Ventures, PDS Ventures","Collaborative Fund, Better Ventures, Alante Capital, One Small Planet, Climate Capital, Sandy Spring Climate Partners, Pachamama Ventures, PDS Ventures",,No,"Sustainable Materials, Construction, CleanTech",B2B,Seed,CleanTech,Construction,High
Maxwell,https://www.himaxwell.com,"Provides a digital mortgage platform that streamlines loan processing for lenders, improving efficiency and borrower experience. Headquartered in Denver, Colorado[5].",Evan Einhorn,Denver,CO,"Denver, CO","1700 Lincoln Street, Suite 2900, Denver, Colorado 80203, United States",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"FinTech, SaaS, Mortgage Technology",B2B SaaS,Early Growth,FinTech,Lenders,High
Maybell Quantum,https://maybellquantum.com,Quantum computing hardware company developing cryogenic and quantum control systems; raised Series A (2024)[4].,"Corban Tillemann-Dick, Kyle Thompson, Bryan Choo",Denver,CO,"Denver, CO","7100 Broadway, Building 3, Suite D-E, Denver, Colorado 80221, United States",,,$65M,$65 million,2,Series A → Series B,Series B,$40M,2025-09,2025-09,0,9,"Cerberus Capital Management, Addition","Cerberus Capital Management, Addition, Lavrock Ventures, Caruso Ventures, Mark IV Capital, Decisive Point, In-Q-Tel, Olive Capital, Capital One Ventures","Cerberus Capital Management, Addition, Lavrock Ventures, Caruso Ventures, Mark IV Capital, Decisive Point, In-Q-Tel, Olive Capital, Capital One Ventures",,No,"Quantum Computing, Hardware",Hardware,Early Growth,Quantum Technology,Enterprise,High
Maybell Quantum Industries,https://www.maybellquantum.com,Quantum computing company; raised $25 million in Series A funding in March 2024[2],Corban Tillemann-Dick,Denver,CO,"Denver, CO",Not found,,,$65M,$65M,2,Series A → Series B,Series B,$40M,2025-09,2025-09,0,2,"Cerberus Ventures, Addition","Cerberus Ventures, Addition","Cerberus Ventures, Addition",,No,"Quantum Computing, Hardware",Hardware,Early Growth,Quantum Computing,Enterprise,High
Mesa Quantum,https://mesaquantum.com,"Boulder, Colorado-based quantum sensor startup founded by Sristy Agrawal, developed from CU Boulder research in collaboration with NIST",Sristy Agrawal,Boulder,CO,"Boulder, CO",Not found,https://www.linkedin.com/company/mesa-quantum/,,$5.6M,$5.6M,2,Seed → SBIR,Seed,$3.7M,2024-09,2024-09,1,2,"J2 Ventures, SOSV","J2 Ventures, SOSV, SpaceWERX","J2 Ventures, SOSV",,No,"Quantum Technology, Sensors, Hardware",Hardware,Seed,Quantum Sensing,Industry,High
Mevi,https://www.mevi.io,"Digital real estate platform founded in 2020, streamlining transactions for agents, buyers, and sellers with seamless digital tools; VC-backed[7].",Anthony Papadimitropoulos,Denver,CO,"Denver, CO",Not found,,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Real Estate, Technology",B2B SaaS,Early Growth,Digital Tools,"Real Estate Agents, Buyers, Sellers",High
Misty Robotics,https://www.mistyrobotics.com,"Robotics company developing personal robots; founded by Ian Bernstein, with investors including Venrock and Foundry Group[5].",Ian Bernstein,Boulder,CO,"Boulder, CO","1525 Spruce St, Suite 201, Boulder, Colorado 80302, USA",,,$25.78M,$25.78M,2,Unknown,Series A,$11M,2018-12,2018-12,7,5,"Venrock, Great North Labs, Foundry Group","Venrock, Great North Labs, Foundry Group, Techstars Ventures, Furhat Robotics","Venrock, Great North Labs, Foundry Group, Techstars Ventures, Furhat Robotics",,Yes,"Robotics, Education, AI",Hardware,Early Growth,"AI, Robotics",Consumer,High
MobileDay,https://www.mobileday.com,"Offers a mobile app that enables one-touch dialing into conference calls and online meetings, streamlining remote work communications. Founded by Brad Dupee.","Rajat Bhargava, Jim Haid",Boulder,CO,"Boulder, CO","2040 14th St, Boulder, Colorado, 80302",,,$8M,$8M,2,Seed → Series A,Series A,$7M,Unknown,Not found,-1,1,Uncork Capital,Uncork Capital,Uncork Capital,,No,"Telecommunications, Software, Mobile Applications",B2B SaaS,Early Growth,Telephony Software,Enterprise,High
Modular Robotics,https://www.modrobotics.com,Designs and manufactures educational robot construction kits to promote STEM learning for children and educators. Founded by Eric Schweikardt.,"Eric Schweikardt, Mark D Gross",Boulder,CO,"Boulder, CO","1860 38th Street, Boulder, Colorado, 80301",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Education, Robotics, STEM",Hardware,Early Growth,Educational Technology,"Consumer, Education",High
Mom Juice,https://www.momjuice.com,"Innovates the wine industry with modern packaging and messaging, emphasizing ingredient transparency and catering to contemporary consumer needs. Founded in 2020 in Denver by Kristin Taylor and Macie ","Kristin Taylor, Macie Mata",Denver,CO,"Denver, CO",Not found,,,$1.1M,$1.1 million,1,Seed,Crowdfunding,$159.614K,2025-04,2025-04,0,2,"Crowdfunding platforms, Private investors","Crowdfunding platforms, Private investors","Crowdfunding platforms, Private investors",,No,"Wine, Consumer Goods, Food & Beverage",Consumer,Early Growth,Packaging Innovation,Consumer,High
